LocationID,ParkCode,ParkName,Latitude,Longitude 
BUFFRMFISHBM01,BUFF,Buffalo National River,35.974,-93.397
BUFFRMFISHBM02,BUFF,Buffalo National River,36.037,-93.105
BUFFRMFISHBM03,BUFF,Buffalo National River,36,-93.006
BUFFRMFISHBM04,BUFF,Buffalo National River,35.983,-92.778
BUFFRMFISHBM05,BUFF,Buffalo National River,36.011,-92.682
BUFFRMFISHBM06,BUFF,Buffalo National River,36.096,-92.498
BUFFRMFISHBT01,BUFF,Buffalo National River,35.945,-93.395
BUFFRMFISHBT03,BUFF,Buffalo National River,35.992,-93.401
BUFFRMFISHBT04,BUFF,Buffalo National River,36.059,-93.311
BUFFRMFISHBT05,BUFF,Buffalo National River,36.08,-93.222
BUFFRMFISHBT06,BUFF,Buffalo National River,36.08,-93.207
BUFFRMFISHBT07,BUFF,Buffalo National River,36.061,-93.135
BUFFRMFISHBT08,BUFF,Buffalo National River,36.052,-93.117
BUFFRMFISHBT09,BUFF,Buffalo National River,36.033,-93.112
BUFFRMFISHBT10,BUFF,Buffalo National River,36.025,-93.1
BUFFRMFISHBT11,BUFF,Buffalo National River,36.001,-93.085
BUFFRMFISHBT12,BUFF,Buffalo National River,35.993,-93.084
BUFFRMFISHBT13,BUFF,Buffalo National River,35.972,-93.047
BUFFRMFISHBT14,BUFF,Buffalo National River,35.995,-93.003
BUFFRMFISHBT15,BUFF,Buffalo National River,36.01,-92.956
BUFFRMFISHBT16,BUFF,Buffalo National River,36.012,-92.952
BUFFRMFISHBT17,BUFF,Buffalo National River,35.923,-92.898
BUFFRMFISHBT19,BUFF,Buffalo National River,35.974,-92.772
BUFFRMFISHBT20,BUFF,Buffalo National River,35.989,-92.699
BUFFRMFISHBT21,BUFF,Buffalo National River,35.999,-92.685
BUFFRMFISHBT22,BUFF,Buffalo National River,36.02,-92.588
BUFFRMFISHBT23,BUFF,Buffalo National River,36.051,-92.58
BUFFRMFISHBT24,BUFF,Buffalo National River,36.072,-92.552
BUFFRMFISHBT25,BUFF,Buffalo National River,36.087,-92.557
BUFFRMFISHBT27,BUFF,Buffalo National River,36.132,-92.547
BUFFRMFISHBT28,BUFF,Buffalo National River,36.132,-92.509
BUFFRMFISHBT29,BUFF,Buffalo National River,36.072,-92.474
BUFFRMFISHBT30,BUFF,Buffalo National River,36.084,-92.427
BUFFRMFISHBT31,BUFF,Buffalo National River,36.109,-92.427
BUFFRMFISHBT32,BUFF,Buffalo National River,36.135,-92.433
BUFFRMFISHBT33,BUFF,Buffalo National River,36.152,-92.416
