"","LocationID","NearestGageID","ParkCode","ParkName","Latitude","Longitude"
"1","BUFFRMFISHBM01",7055646,"BUFF","Buffalo National River",35.974,-93.397
"2","BUFFRMFISHBM02",7056700,"BUFF","Buffalo National River",36.037,-93.105
"3","BUFFRMFISHBM03",7055875,"BUFF","Buffalo National River",36,-93.006
"4","BUFFRMFISHBM04",7056515,"BUFF","Buffalo National River",35.983,-92.778
"5","BUFFRMFISHBM05",7056515,"BUFF","Buffalo National River",36.011,-92.682
"6","BUFFRMFISHBM06",7056000,"BUFF","Buffalo National River",36.096,-92.498
"7","BUFFRMFISHBT01",7055646,"BUFF","Buffalo National River",35.945,-93.395
"8","BUFFRMFISHBT03",7055780,"BUFF","Buffalo National River",35.992,-93.401
"9","BUFFRMFISHBT04",7055780,"BUFF","Buffalo National River",36.059,-93.311
"10","BUFFRMFISHBT05",7056700,"BUFF","Buffalo National River",36.08,-93.222
"11","BUFFRMFISHBT06",7056700,"BUFF","Buffalo National River",36.08,-93.207
"12","BUFFRMFISHBT07",7056700,"BUFF","Buffalo National River",36.061,-93.135
"13","BUFFRMFISHBT08",7056700,"BUFF","Buffalo National River",36.052,-93.117
"14","BUFFRMFISHBT09",7056700,"BUFF","Buffalo National River",36.033,-93.112
"15","BUFFRMFISHBT10",7056700,"BUFF","Buffalo National River",36.025,-93.1
"16","BUFFRMFISHBT11",7055875,"BUFF","Buffalo National River",36.001,-93.085
"17","BUFFRMFISHBT12",7055875,"BUFF","Buffalo National River",35.993,-93.084
"18","BUFFRMFISHBT13",7055875,"BUFF","Buffalo National River",35.972,-93.047
"19","BUFFRMFISHBT14",7055875,"BUFF","Buffalo National River",35.995,-93.003
"20","BUFFRMFISHBT15",7055875,"BUFF","Buffalo National River",36.01,-92.956
"21","BUFFRMFISHBT16",7055875,"BUFF","Buffalo National River",36.012,-92.952
"22","BUFFRMFISHBT17",NA,"BUFF","Buffalo National River",35.923,-92.898
"23","BUFFRMFISHBT19",7056515,"BUFF","Buffalo National River",35.974,-92.772
"24","BUFFRMFISHBT20",7056515,"BUFF","Buffalo National River",35.989,-92.699
"25","BUFFRMFISHBT21",7056515,"BUFF","Buffalo National River",35.999,-92.685
"26","BUFFRMFISHBT22",7056000,"BUFF","Buffalo National River",36.02,-92.588
"27","BUFFRMFISHBT23",7056000,"BUFF","Buffalo National River",36.051,-92.58
"28","BUFFRMFISHBT24",7056000,"BUFF","Buffalo National River",36.072,-92.552
"29","BUFFRMFISHBT25",7056000,"BUFF","Buffalo National River",36.087,-92.557
"30","BUFFRMFISHBT27",7056000,"BUFF","Buffalo National River",36.132,-92.547
"31","BUFFRMFISHBT28",7056000,"BUFF","Buffalo National River",36.132,-92.509
"32","BUFFRMFISHBT29",7056000,"BUFF","Buffalo National River",36.072,-92.474
"33","BUFFRMFISHBT30",7056000,"BUFF","Buffalo National River",36.084,-92.427
"34","BUFFRMFISHBT31",7056000,"BUFF","Buffalo National River",36.109,-92.427
"35","BUFFRMFISHBT32",7056000,"BUFF","Buffalo National River",36.135,-92.433
"36","BUFFRMFISHBT33",7056000,"BUFF","Buffalo National River",36.152,-92.416
