GaugeSiteNo,ParkCode,StreamName,Latitude,Longitude
7064440,OZAR,Current River,37.44791667,-91.6713611
7064533,OZAR,Current River,37.37569444,-91.5528056
7066510,OZAR,Current River,37.18561389,-91.1776639
7067000,OZAR,Current River,36.99138889,-91.0135
7067500,OZAR,Big Spring,36.95094444,-90.9918611
7068000,OZAR,Current River,36.6215,-90.8463889
7065200,OZAR,Jacks Fork,37.05652778,-91.6680278
7065495,OZAR,Jacks Fork,37.14816667,-91.4430833
7066000,OZAR,Jacks Fork,37.1540833,-91.3581667
7055646,BUFF,Buffalo River,35.93888889,-93.405
7055660,BUFF,Buffalo River,36.0225,-93.3547222
7055680,BUFF,Buffalo River,36.05916667,-93.1377778
7055780,BUFF,Buffalo River,35.98313889,-93.04275
7056000,BUFF,Buffalo River,35.98305556,-92.7472222
7056700,BUFF,Buffalo River,36.06777778,-92.5775
7055875,BUFF,Richland Creek,35.7972222,-92.9288889
7056515,BUFF,Bear Creek,35.94,-92.7133333
82035001,PIPE,Pipestone Creek,44.003185,-96.306798
7180400,TAPR,Cottonwood River,38.2361285,-96.8772436
7182200,TAPR,Cottonwood River,38.28557125,-96.5127844
7182250,TAPR,Cottonwood River,38.3975139,-96.356112
7182260,TAPR,Cottonwood River,38.3851111,-96.1814167
