LocationID,ParkCode,ParkName,Latitude,Longitude 
OZARRMFISHCM01,OZAR,Ozark National Scenic Riverways,37.417,-91.604
OZARRMFISHCM02,OZAR,Ozark National Scenic Riverways,37.316,-91.452
OZARRMFISHCM03,OZAR,Ozark National Scenic Riverways,37.274,-91.398
OZARRMFISHCM04,OZAR,Ozark National Scenic Riverways,37.152,-91.171
OZARRMFISHCM05,OZAR,Ozark National Scenic Riverways,37.139,-91.139
OZARRMFISHCM06,OZAR,Ozark National Scenic Riverways,36.853,-90.93
OZARRMFISHCT01,OZAR,Ozark National Scenic Riverways,37.439,-91.621
OZARRMFISHCT02,OZAR,Ozark National Scenic Riverways,37.202,-91.32
OZARRMFISHCT03,OZAR,Ozark National Scenic Riverways,37.194,-91.284
OZARRMFISHCT04,OZAR,Ozark National Scenic Riverways,37.183,-91.265
OZARRMFISHCT06,OZAR,Ozark National Scenic Riverways,37.181,-91.21
OZARRMFISHCT07,OZAR,Ozark National Scenic Riverways,37.186,-91.173
OZARRMFISHCT08,OZAR,Ozark National Scenic Riverways,37.13,-91.181
OZARRMFISHCT09,OZAR,Ozark National Scenic Riverways,37.14,-91.13
OZARRMFISHCT12,OZAR,Ozark National Scenic Riverways,37.051,-91.063
OZARRMFISHCT13,OZAR,Ozark National Scenic Riverways,37.038,-91.066
OZARRMFISHCT14,OZAR,Ozark National Scenic Riverways,37.305,-91.406
OZARRMFISHCT15,OZAR,Ozark National Scenic Riverways,37.415,-91.609
OZARRMFISHCT16,OZAR,Ozark National Scenic Riverways,37.25,-91.33
OZARRMFISHJM01,OZAR,Ozark National Scenic Riverways,37.053,-91.652
OZARRMFISHJM02,OZAR,Ozark National Scenic Riverways,37.055,-91.566
OZARRMFISHJM03,OZAR,Ozark National Scenic Riverways,37.108,-91.5
OZARRMFISHJT01,OZAR,Ozark National Scenic Riverways,37.054,-91.571
OZARRMFISHJT02,OZAR,Ozark National Scenic Riverways,37.163,-91.426
OZARRMFISHJT03,OZAR,Ozark National Scenic Riverways,37.17,-91.303
OZRSSPRNGSSITE01,OZAR,Ozark National Scenic Riverways,37.154,-91.441
OZRSSPRNGSSITE02,OZAR,Ozark National Scenic Riverways,36.952,-90.993
OZRSSPRNGSSITE03,OZAR,Ozark National Scenic Riverways,37.166,-91.162
OZRSSPRNGSSITE07,OZAR,Ozark National Scenic Riverways,36.836,-90.945
OZRSSPRNGSSITE04,OZAR,Ozark National Scenic Riverways,37.335,-91.49
OZRSSPRNGSSITE05,OZAR,Ozark National Scenic Riverways,37.282,-91.408
OZRSSPRNGSSITE06,OZAR,Ozark National Scenic Riverways,37.394,-91.574
