LocationID,ParkCode,ParkName,Latitude,Longitude
PIPEShiner01lower,PIPE,Pipestone National Monument,44.016,-96.326
PIPEShiner01middl,PIPE,Pipestone National Monument,44.014,-96.324
PIPEShiner01upper,PIPE,Pipestone National Monument,44.015,-96.321
TAPRShiner01lower,TAPR,Tallgrass Prairie National Preserve,38.437,-96.557
TAPRShiner02lower,TAPR,Tallgrass Prairie National Preserve,38.43,-96.557
TAPRShiner17lower,TAPR,Tallgrass Prairie National Preserve,38.493,-96.586
TAPRShiner22lower,TAPR,Tallgrass Prairie National Preserve,38.463,-96.565
TAPRShiner24lower,TAPR,Tallgrass Prairie National Preserve,38.411,-96.584
TAPRShiner34lower,TAPR,Tallgrass Prairie National Preserve,38.495,-96.595
TAPRShiner35lower,TAPR,Tallgrass Prairie National Preserve,38.436,-96.549
TAPRShiner01middl,TAPR,Tallgrass Prairie National Preserve,38.44,-96.561
TAPRShiner02middl,TAPR,Tallgrass Prairie National Preserve,38.43,-96.567
TAPRShiner04middl,TAPR,Tallgrass Prairie National Preserve,38.417,-96.563
TAPRShiner05middl,TAPR,Tallgrass Prairie National Preserve,38.413,-96.559
TAPRShiner10middl,TAPR,Tallgrass Prairie National Preserve,38.413,-96.536
TAPRShiner12middl,TAPR,Tallgrass Prairie National Preserve,38.418,-96.505
TAPRShiner18middl,TAPR,Tallgrass Prairie National Preserve,38.486,-96.592
TAPRShiner23middl,TAPR,Tallgrass Prairie National Preserve,38.444,-96.594
TAPRShiner24middl,TAPR,Tallgrass Prairie National Preserve,38.423,-96.585
TAPRShiner36middl,TAPR,Tallgrass Prairie National Preserve,38.492,-96.586
TAPRShiner22ltupp,TAPR,Tallgrass Prairie National Preserve,38.465,-96.573
TAPRShiner01upper,TAPR,Tallgrass Prairie National Preserve,38.448,-96.576
TAPRShiner10upper,TAPR,Tallgrass Prairie National Preserve,38.417,-96.531
TAPRShiner17upper,TAPR,Tallgrass Prairie National Preserve,38.495,-96.587
TAPRShiner36upper,TAPR,Tallgrass Prairie National Preserve,38.493,-96.591
TAPRShiner22rtupp,TAPR,Tallgrass Prairie National Preserve,38.46,-96.576
