"","ParkName","ParkCode","LocationID","PeriodID","EventID","SamplingGear","ChannelType","SiteNumber","TaxaFishNumber","TotalLength_Millimeters","Weight_Grams","FishAnomaly","Vouchered","NumObs","BatchID","BatchWT_Grams","Comments","TaxonCode","CommonName","FamilyName","VerbatimIdentification","TSN","ScientificName","ScientificName_flag","ScientificNameDataSource","GBIFTaxonID","TaxonRank","Tolerance","ReproductiveClassification","TrophicClassification","dwcType","dwcBasisOfRecord","Year","key","station","water_year","annual_mean","short_term_change","days_over_7xmedian","high_flow_duration","fall_rate"
"1","Tallgrass Prairie National Preserve","TAPR","TAPRShiner01middl","TAPRShiner2005Oct03","TAPRShiner2005Oct05","seine","main",5,1,-999,-999,"No Anomalies",FALSE,1,0,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2005,"07182250-2005","07182250",2005,"1359.41","72.62",59,6,"-328.76"
"2","Tallgrass Prairie National Preserve","TAPR","TAPRShiner02lower","TAPRShiner2002Sep30","TAPRShiner2002Oct02","seine","main",1,1,-999,-999,"No Anomalies",FALSE,9,0,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2002,"07182250-2002","07182250",2002,"306.55","-61.07",21,2,"-105.78"
"3","Tallgrass Prairie National Preserve","TAPR","TAPRShiner04middl","TAPRShiner2005Oct03","TAPRShiner2005Oct03","seine","main",5,1,-999,-999,"No Anomalies",FALSE,1,0,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2005,"07182250-2005","07182250",2005,"1359.41","72.62",59,6,"-328.76"
"4","Tallgrass Prairie National Preserve","TAPR","TAPRShiner23middl","TAPRShiner2002Sep30","TAPRShiner2002Oct02","seine","main",2,1,-999,-999,"No Anomalies",FALSE,1,0,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2002,"07182250-2002","07182250",2002,"306.55","-61.07",21,2,"-105.78"
"5","Tallgrass Prairie National Preserve","TAPR","TAPRShiner23middl","TAPRShiner2004Oct04","TAPRShiner2004Oct05","seine","main",2,1,-999,-999,"No Anomalies",FALSE,1,0,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2004,"07182250-2004","07182250",2004,"1146.83","45.63",55,6,"-297.67"
"6","Tallgrass Prairie National Preserve","TAPR","TAPRShiner23middl","TAPRShiner2006Sep18","TAPRShiner2006Sep20","seine","main",3,1,185,79,"Lesions",FALSE,1,0,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2006,"07182250-2006","07182250",2006,"210.05","-73.33",8,2,"-44.98"
"7","Tallgrass Prairie National Preserve","TAPR","TAPRShiner23middl","TAPRShiner2007Sep09","TAPRShiner2007Sep12","seine","main",3,1,32,-999,"No Anomalies",FALSE,1,1,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2007,"07182250-2007","07182250",2007,"653.65","-17",37,5,"-232.11"
"8","Tallgrass Prairie National Preserve","TAPR","TAPRShiner23middl","TAPRShiner2007Sep09","TAPRShiner2007Sep12","seine","main",3,2,33,-999,"No Anomalies",FALSE,1,1,2,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2007,"07182250-2007","07182250",2007,"653.65","-17",37,5,"-232.11"
"9","Tallgrass Prairie National Preserve","TAPR","TAPRShiner23middl","TAPRShiner2007Sep09","TAPRShiner2007Sep12","seine","main",3,3,33,-999,"No Anomalies",FALSE,1,1,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2007,"07182250-2007","07182250",2007,"653.65","-17",37,5,"-232.11"
"10","Tallgrass Prairie National Preserve","TAPR","TAPRShiner23middl","TAPRShiner2007Sep09","TAPRShiner2007Sep12","seine","main",3,4,35,-999,"No Anomalies",FALSE,1,1,-999,NA,"amemel","Black bullhead","Ictaluridae","Ameiurus melas",164039,"Ameiurus melas","A","GBIF Backbone Taxonomy",2340977,"species","Moderately tolerent to poor water quality and human disturbance","Lithophilic spawner - spawns in clean gravel or cobble substrate. Can be simple. site prep. or parental care spawners","Detritivore/Algivore-Herbivore/Invertivore/Piscivore   (i.e. Generalist/Omnivore)","Event","HumanObservation",2007,"07182250-2007","07182250",2007,"653.65","-17",37,5,"-232.11"
