"","LocationID","NearestGageID","ParkCode","ParkName","Latitude","Longitude"
"1","TAPRShiner01lower",7182250,"TAPR","Tallgrass Prairie National Preserve",38.437,-96.557
"2","TAPRShiner01middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.44,-96.561
"3","TAPRShiner01upper",7182250,"TAPR","Tallgrass Prairie National Preserve",38.448,-96.576
"4","TAPRShiner02lower",7182250,"TAPR","Tallgrass Prairie National Preserve",38.43,-96.557
"5","TAPRShiner02middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.43,-96.567
"6","TAPRShiner04middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.417,-96.563
"7","TAPRShiner05middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.413,-96.559
"8","TAPRShiner10middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.413,-96.536
"9","TAPRShiner10upper",7182250,"TAPR","Tallgrass Prairie National Preserve",38.417,-96.531
"10","TAPRShiner12middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.418,-96.505
"11","TAPRShiner17lower",7182250,"TAPR","Tallgrass Prairie National Preserve",38.493,-96.586
"12","TAPRShiner17upper",7182250,"TAPR","Tallgrass Prairie National Preserve",38.495,-96.587
"13","TAPRShiner18middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.486,-96.592
"14","TAPRShiner22lower",7182250,"TAPR","Tallgrass Prairie National Preserve",38.463,-96.565
"15","TAPRShiner22ltupp",7182250,"TAPR","Tallgrass Prairie National Preserve",38.465,-96.573
"16","TAPRShiner22rtupp",7182250,"TAPR","Tallgrass Prairie National Preserve",38.46,-96.576
"17","TAPRShiner23middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.444,-96.594
"18","TAPRShiner24lower",7182250,"TAPR","Tallgrass Prairie National Preserve",38.411,-96.584
"19","TAPRShiner24middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.423,-96.585
"20","TAPRShiner34lower",7182250,"TAPR","Tallgrass Prairie National Preserve",38.495,-96.595
"21","TAPRShiner35lower",7182250,"TAPR","Tallgrass Prairie National Preserve",38.436,-96.549
"22","TAPRShiner36middl",7182250,"TAPR","Tallgrass Prairie National Preserve",38.492,-96.586
"23","TAPRShiner36upper",7182250,"TAPR","Tallgrass Prairie National Preserve",38.493,-96.591
